graph_id,vertices,edges,density,variant,source,weight_model,operations_count,execution_time_ns
1,6,7,sparse,pure_dag,0,node,20,24300
2,8,17,sparse,one_cycle,4,node,0,300
3,10,28,sparse,two_cycles,1,node,0,200
4,6,12,dense,pure_dag,0,node,30,29100
5,8,28,dense,one_cycle,2,node,0,200
6,10,42,dense,two_cycles,4,node,0,200
7,14,36,sparse,one_cycle,0,node,0,300
8,16,38,sparse,two_cycles,5,node,0,200
9,20,43,sparse,multiple_sccs,2,node,0,200
10,14,94,dense,one_cycle,4,node,0,200
11,16,113,dense,two_cycles,6,node,0,200
12,20,115,dense,multiple_sccs,2,node,0,200
13,30,147,sparse,pure_dag,0,node,324,118700
14,40,109,sparse,multiple_sccs,12,node,0,200
15,50,461,sparse,two_cycles,14,node,0,200
16,30,322,dense,pure_dag,0,node,674,384700
17,40,397,dense,multiple_sccs,5,node,0,200
18,50,1307,dense,two_cycles,25,node,0,200
